subjectid,subjectname,instructorname,credits,semister
77,Literature,Dr. White,3,spring
78,Economics,Prof. Davis,4,fall
79,Psychology,Dr. Taylor,3,spring
80,Sociology,Prof. Clark,4,fall
81,CS,Dr. Rodriguez,3,spring
82,Art History,Prof. Martinez,4,fall
83,Environmental Science,Prof. Wilson,4,fall
84,Political Science,Prof. Wilson,4,fall
85,Linguistics,Dr. Garcia,3,spring
86,Business,Prof. Thompson,4,fall
87,Geology,Dr. Walker,3,spring
88,Anthropology,Prof. Harris,4,fall
89,Music,Dr. Allen,3,spring
90,Engineering,Prof. Roberts,4,fall
91,Philosophy,Dr. Scott,4,fall
92,Statistics,Prof. Nguyen,3,spring
93,Marketing,Dr. Stewart,4,fall
94,Religious Studies,Prof. Carter,3,spring
95,Theater,Dr. Morales,4,fall
96,Public Health,Prof. Kim,3,spring
97,Architecture,Dr. Sullivan,4,fall
98,Film Studies,Prof. Cooper,4,fall
99,Oceanography,Dr. Rivera,3,spring
100,Nutrition,Prof. Bennett ,4,fall
101,Nutrition,Prof. Bennett ,4,fall
102,Nutrition,Prof. Bennett ,4,fall
103,Architecture,Dr. Sullivan,4,fall
